"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6"
"1","nigga","time","love","girl","nigga","dem"
"2","fuck","rhyme","baby","wanna","money","yuh"
"3","shit","people","time","baby","yeah","gal"
"4","bitch","rap","girl","yeah","shit","bad"
"5","ass","beat","yeah","boy","bitch","nuh"
"6","yall","rock","life","call","wit","dance"
"7","niggaz","mic","wanna","hey","yall","dat"
"8","fuckin","ill","ill","shake","time","chorus"
"9","thug","black","day","ass","fuck","nah"
"10","motherfucker","shit","gotta","party","real","inna"
"11","hit","check","live","stop","game","beep"
"12","bone","hit","chorus","white","move","wine"
"13","dog","words","world","body","chorus","ghetto"
"14","ill","yall","night","dance","gotta","run"
"15","run","sound","heart","talk","rock","time"
"16","gun","style","ive","club","street","pon"
"17","yeah","kids","mind","hit","hood","hear"
"18","chorus","head","stay","gon","ride","war"
"19","real","play","feeling","chorus","gon","dis"
"20","die","stop","hold","bout","hit","call"
